key_fr,key_km,scrap_mode,scrap_letter,type,dialect_shiNgazidja,dialect_shiNdzuani,dialect_shiMaore,dialect_shiMwali,dialect_commun,img_link_webformatURL,img_link_previewURL
réfléchir; épouser; être pensif,lolea (u-),KM -> FR,L,v.,ufikiri,ufikiri,ufikiri,ufikiri,1.0,,
réforme,mɓaɗiliho,KM -> FR,M,n. fem.,mɓaɗiliho,,,,,https://pixabay.com/get/g28076663189f4d8953da753aeea0ace217e2ac7a8958be907658fcadc71564358ee0d641e1e571a5bf749a9df3be5a22d31f4e62e5e1697b5a0b703762a5384e_640.jpg,https://cdn.pixabay.com/photo/2019/03/14/21/57/change-4056014_150.jpg
réfrigérateur,firigo,FR -> KM,R,n. masc.,firigo,firigo,firigo,firigo,1.0,https://pixabay.com/get/ge94a0ec2c0938b3df0878859b4d8190a68b918c932e54ef2d15e445fae81c990bbbf0ffc8e85a2299902296a3bb6e2c53922045adcbd9866c3a4ff26fa2623a8_640.jpg,https://cdn.pixabay.com/photo/2019/10/09/13/10/halloween-4537430_150.jpg
régaler,jiva (u-),FR -> KM,R,v. tra.,,ujiva,ujiva,,,https://pixabay.com/get/g9caa5e16338f2ad35ffaea8ef7d907b4f45c7f5ff9b98b911458186b831fd64310bb1e21cf64fdc9b030c69f51f15dcad2044bbebac1df6c805c2aa03069f8b1_640.jpg,https://cdn.pixabay.com/photo/2016/07/31/18/00/chicken-1559579_150.jpg
régaler; contenter,jiva (u-),KM -> FR,J,v. tra.,,ujiva,ujiva,,,,
régime de bananes,kontrike,KM -> FR,K,n. masc.,kontrike,mkungu,mkungu,,,https://pixabay.com/get/g703e061c2738fe5d1319b94e579500381a9dc7d4c8f6a52d2acf878cda9d71eeda15d3c0570c5370259df07320565c5a55046a56e4e3397a6bf4467cc15fdfb2_640.jpg,https://cdn.pixabay.com/photo/2018/09/24/20/12/bananas-3700718_150.jpg
région,ɓavu; mkaɓala,FR -> KM,R,n. fem.,ɓavu,ɓavu,ɓavu,ɓavu,1.0,https://pixabay.com/get/g0ab36bc37e166d049222af10ab26c802911157d92a2d181af303265230513989c878239aea9f2f8a61c5e2cbfb382481_640.jpg,https://cdn.pixabay.com/photo/2012/06/19/10/32/owl-50267_150.jpg
région; environ,mkaɓala,KM -> FR,M,n. fem.,ɓavu,ɓavu,ɓavu,ɓavu,1.0,https://pixabay.com/get/g4381df27f9ad2551c15616d01415f2e93969f5a657bdbdd727879be74e3e7b51e896a124076edb816ea546992cae35f8999ec4ac69d116cce5ce199733cb7c22_640.jpg,https://cdn.pixabay.com/photo/2016/11/14/04/45/elephant-1822636_150.jpg
réglage,mrengezo; mlekezo,FR -> KM,R,n. masc.,mrengezo,,,,,https://pixabay.com/get/g240075a83c45c4ad4cd2b74c8edbd927a79c3fbeea56c18eb4d8a9d8d0cdff300d3ee0146e45f2a423884999e2bd4c2383751c4fdc5c5bf5a7740a5c21cc3702_640.jpg,https://cdn.pixabay.com/photo/2017/06/10/16/22/coffee-2390136_150.jpg
réjouir,djipvia (u-); jivia (u-),FR -> KM,R,v.,udjipvia,ujivia,ujivia,,,https://pixabay.com/get/g3b2ecd882cf8b85bb856d4186b8df183897ebab2cbefe891009ed6e39fd3115672babe5f36179a247ca39f90cf39a2c83d1cebf4c5e1ccd1eea6256a1d274a71_640.jpg,https://cdn.pixabay.com/photo/2016/12/02/03/08/people-talking-1876726_150.jpg
réjouir (se -),furahi (u-); jiviwa (u-),FR -> KM,R,v. tra.,ufurahi,ufurahi,ufurahi,ufurahi,1.0,https://pixabay.com/get/g32cb9f988c9897e76672c5d0f0c77d921d424bf58c5fa32d53484c84577fe3ec35ff5f346999f90534d1ac7e32f3c221f172bcf73c1fcaa6b570f57ecc31abaa_640.jpg,https://cdn.pixabay.com/photo/2016/12/02/03/08/people-talking-1876726_150.jpg
réjouir (se -); content (être -); joyeux (être -),jiviwa (u-),KM -> FR,J,v. tra.,ufurahi,ufurahi,ufurahi,ufurahi,1.0,,
réjouir; plaire à,jivia (u-),KM -> FR,J,v.,udjipvia,ujivia,ujivia,,,,
répandre,eneza (u-); odza (u-),FR -> KM,R,v.,hweneza,,uodza,,,https://pixabay.com/get/gf37e9e43f062b66dcb6582b7445cc373aa260774bad518723e33441527f75c921c5bdcac6c20ccf8c38ee25d3aa22d35d4cb0349af242ea79a898f5ee0fea700_640.jpg,https://cdn.pixabay.com/photo/2016/07/26/16/16/wine-1543170_150.jpg
répandre (se -),enea (u-); tsangaya (u-),FR -> KM,R,v. tra.,(u-),(u-),(u-),(u-),1.0,,
répandre; éparpiller,eneza (u-),KM -> FR,E,v.,hweneza,,uodza,,,,
réparation,mrengezo,FR -> KM,R,n. fem.,mrengezo,,,,,https://pixabay.com/get/gbf1534d45ddd0f4c8ac75274f87abdd7c7bffea1e205caeef277c8cdd9d24a24659f9532e7df356a4e4286582988b04a_640.jpg,https://cdn.pixabay.com/photo/2014/06/04/16/36/man-362150_150.jpg
réparation; réglage,mrengezo,KM -> FR,M,n. fem.,mrengezo,,,,,https://pixabay.com/get/g7d044926c0f60541ff63e8ecdcf46d903f058d4a2d2d82dd84d55e1c2417d6508d382ac71bf1b0a00ce64a25a58ddee9f0d91ffec06326df5dfd13488161c5aa_640.png,https://cdn.pixabay.com/photo/2021/10/11/13/12/website-6700615_150.png
réparer,rengeza (u-); rengeledza (u-),FR -> KM,R,v.,urengeza,urengeledza,urengeledza,urengeledza,,https://pixabay.com/get/g516379546a6118116aa9af354599b2c80724c253e998038deefd3164e508cdacd0b61d6a17598ec7efb3cb752b6b13b7_640.jpg,https://cdn.pixabay.com/photo/2014/06/04/16/36/man-362150_150.jpg
réparer (se -),rengelea (u-),FR -> KM,R,v. tra.,urengelea,,urengelea,,,,
réparer (se -); arranger (s'-),rengelea (u-),KM -> FR,R,v. tra.,urengelea,,urengelea,,,https://pixabay.com/get/g929fea7cb63e4142d07322e1e4da4a1378dffe1159b1ee487165799891d2541e52b0baf9e4d188ce2c7316ce5665e33e_640.jpg,https://cdn.pixabay.com/photo/2014/06/04/16/36/man-362150_150.jpg
répartition (nourriture),djeleo,KM -> FR,D,n. fem.,djeleo,,,,,,
répercuter,shukia (u-),FR -> KM,R,v. tra.,,ushukia,,,,,
répondre,djiɓu (u-),KM -> FR,D,v.,udjiɓu,udjiɓu,udjiɓu,udjiɓu,1.0,https://pixabay.com/get/gedcc6ce546e54dc08ae600004e0adba7eb630bfbe345ea27e287bba2745f592663971c7e320c6f631af3c3a5e67bb8cb60df8a0b20e1c7ad5f36da0f2e223143_640.jpg,https://cdn.pixabay.com/photo/2019/05/07/16/30/dandelion-4186350_150.jpg
répondre (à un appel),viya (u-); via (u-),FR -> KM,R,v.,uviya,,,,,https://pixabay.com/get/g6cf93e7050e828a75f1e01ac66b86600a4a89b151aa94c07840e21d620a43471e30d6ab13dcac066b201811b9e8434653cf66b3c30856fe559858569ccac2d3b_640.jpg,https://cdn.pixabay.com/photo/2019/05/07/16/30/dandelion-4186350_150.jpg
réponse,djawaɓu,KM -> FR,D,n. fem.,djawaɓu,djawaɓu,djawaɓu,djawaɓu,1.0,https://pixabay.com/get/gb67f68ce9e9a567517e3d27de13dfcc35eb958b92c5318997de80b4e8d806f3fe130655f966d9e362d15ed9deec20283b41ad8c752a5db1190819ce54a4dac96_640.jpg,https://cdn.pixabay.com/photo/2016/11/30/12/16/question-mark-1872665_150.jpg
réprimander,lagulia (u-),KM -> FR,L,v.,,ulagulia,unguruma,,,https://pixabay.com/get/gfa73498a7185d4f35db02e7758a66a23fdbc881425df0b2b9e300f33c98630adb1192a7b03880840361ee5d1b23743d9215cf3fcdf209537c41282fd62bcdeaa_640.jpg,https://cdn.pixabay.com/photo/2019/05/02/12/33/tree-4173417_150.jpg
république,djamhuri,KM -> FR,D,n. fem.,djamhuri,,,,,https://pixabay.com/get/gc57d75eb15b61d575183c2e40431b1604ef26c6380de4207c50eab6d4a43fbf7b97be8e9fb43828f450a21b2271a28a12b1099e4dd48c8291628138655a25741_640.jpg,https://cdn.pixabay.com/photo/2016/03/04/19/36/beach-1236581_150.jpg
répudier,twalaki (u-),FR -> KM,R,v.,utwalaki,,,,,,
répudier; divorcer (homme),twalaki (u-),KM -> FR,T,v.,utwalaki,,,,,,
répugnance,urugamivu,FR -> KM,R,n. fem.,,urugamivu,,,,https://pixabay.com/get/gbb97784472f26a9d7a614ecf02abbd2bfb7176bdc3d656806c65416294641253ab76201261becc18fb2962257557ae8b1afd1a59bbdde573b7de0c0c933e6731_640.jpg,https://cdn.pixabay.com/photo/2017/06/29/22/41/cigarette-2456476_150.jpg
répugner,ɗuɗusa (u-); rungama (u-),FR -> KM,R,v.,urungama,urungama,,urungama,,https://pixabay.com/get/gbfd18e4a63c15b90d98f4ca310b99e55c80b3f961dc3964ad8305d4d0e4967e27115b6033f68879704e06e9a1be1d3f0707698bc050f550d87ae5196e36c1a80_640.jpg,https://cdn.pixabay.com/photo/2017/06/29/22/41/cigarette-2456476_150.jpg
réputation,hishima,KM -> FR,H,n. fem.,mavumizo,,,hishima,,https://pixabay.com/get/gc1eb4cd13f89dd6cb1851433e4ac9cb6ba014eb571e384b0b29b47dac7577b870e7d73346f2e80bd26d196dffa27d418e6d5ede11348e94b437ed108ff53582f_640.jpg,https://cdn.pixabay.com/photo/2020/05/22/21/44/review-5207277_150.jpg
réputé (être -),vuma (u-),FR -> KM,R,v.,uvuma,,uvuma,,,https://pixabay.com/get/ga673638585c2368cfb336551aba9b6005229274d66c4beff4115fb7e2dcc961a4d42497ae6b97ed07404b7b30c62f1d36498e2324eea9b309d6ad2978fa1ee12_640.jpg,https://cdn.pixabay.com/photo/2020/05/22/21/44/review-5207277_150.jpg
réputé (être -); souffler,vuma (u-),KM -> FR,V,v.,uvuma,,uvuma,,,https://pixabay.com/get/g21d29bdf7af03ae84473c87a6a1f099843e3a0ea61ecf91e21590d0f401cd9163aea4e3901b56cd34397df0bf543566f41249e80d2858f20e7bfa2abb4ced9ca_640.jpg,https://cdn.pixabay.com/photo/2020/05/22/21/44/review-5207277_150.jpg
répéter,pveshelea (u-),KM -> FR,P,v.,upveshelea,uvoshea,uvoshea,,,https://pixabay.com/get/g0a9f81088d7864f1408b895bdebc6cf71bbea06f6edc1cbe520fa34e7f18f8d97291a40997366c5c13b7bc520cbd59b37cbe785ea415fe32d7968c75f7c88c42_640.jpg,https://cdn.pixabay.com/photo/2017/10/25/08/25/cupcakes-2887270_150.jpg
répétition,mtwalaâ,FR -> KM,R,n. fem.,mtwalaâ,,,,,https://pixabay.com/get/gadbba18ac54722dffb565a2769b7712caf00bad99aec2910639fa8009fedb69854ed44ab3b9ba412f3907eb21e076f41404eee0a86f80f1167da953dbbc7f863_640.jpg,https://cdn.pixabay.com/photo/2016/11/29/06/56/abstract-1867937_150.jpg
répétition; théorie,mtwalaâ,KM -> FR,M,n. fem.,mtwalaâ,,,,,https://pixabay.com/get/ga9aa60c599f2a865e9cbe3beacb3ee85cf43833a73f50acb830d4becfbe63e7a143c9547ebb36b335ea272b421c36b66185eacb3b93906a9a645815b7e7d2a5b_640.jpg,https://cdn.pixabay.com/photo/2020/02/22/08/41/butterfly-4869874_150.jpg
réserve,kalibano,FR -> KM,R,n. fem.,,,kalibano,,,https://pixabay.com/get/g5caa7d512c57c6e2b1fc8dfda276e024f920a7ca57b3230f8a9aec58d7fe0e4516cce4dad43b3f7e1923b995c8c398bd_640.jpg,https://cdn.pixabay.com/photo/2014/04/17/23/26/environmental-protection-326923_150.jpg
réserve; magasin,kalibano,KM -> FR,K,n. fem.,,,kalibano,,,,
réserver,weshea (u-),FR -> KM,R,v.,uweshea,,,,,https://pixabay.com/get/gf06511e45bc07fe3a9a9f9c84ce5b298f6e8f6e72f01e96199c076686703da7499b7ba61814fe5cb4b4f2138c1d30a31623685184a7c2d12dd61169b15688948_640.jpg,https://cdn.pixabay.com/photo/2021/08/01/17/31/path-6514885_150.jpg
résidence,kazi; makao,FR -> KM,R,n. fem.,kazi,makao,makao,,,https://pixabay.com/get/g84bebdda6c702c6677ec0cef5a153a2556ce8b1ed9b09cc06dea343d9915cb99101a915aa472be7422e95449b1b3297f1335ec2b89921da09a2cd46d3c5e295d_640.jpg,https://cdn.pixabay.com/photo/2018/03/18/15/26/villa-3237114_150.jpg
résidence; demeure,makao,KM -> FR,M,n. fem.,kazi,makao,makao,,,https://pixabay.com/get/g7f4c194e6b34b35e0869da107e660ed509260c0d3d31186b62bfb2b4172bf5cd3ed4b265cdb38575f87e408fd5824f59_640.png,https://cdn.pixabay.com/photo/2014/12/21/23/43/house-575899_150.png
résident,mkazi,FR -> KM,R,n. masc.,mkazi,,mkazi,,,https://pixabay.com/get/gf342d82f7f1b6e9cc480d512c1bd4bed3e618b15fba45df36768dbf51590162de833355615fc0c82e5165e57458e70e8666670ea62b241f6623f811e7413e6f6_640.jpg,https://cdn.pixabay.com/photo/2018/03/18/15/26/villa-3237114_150.jpg
résidu,sankiɗa,FR -> KM,R,n. masc.,sankiɗa,,,,,https://pixabay.com/get/g9b5d1774a20e6fc79512e85a38c092b911b3fcee7ebc27f15b00b16447ab4de9a47c8cf8e2d8581e0e3af97e96fc37a722b61a2b1e5a96d7297a3b08723bdb28_640.jpg,https://cdn.pixabay.com/photo/2019/11/03/07/00/plastic-4597957_150.jpg
résigner,ekea (u-),FR -> KM,R,v. tra.,hwekea,,,,,https://pixabay.com/get/g339a54f7cf6c5c09d27c4a1b1de6e15a8c8c3584e9d720e86efae6d2d74fad561fcda93996c0edac8a8e3fbb8d5d4228d39af142bc16beb0a1083c12a27ad72d_640.jpg,https://cdn.pixabay.com/photo/2017/10/10/21/49/youtuber-2838945_150.jpg
résigner; subir,ekea (u-),KM -> FR,E,v. tra.,hwekea,,,,,,
résine (botanique),liti,FR -> KM,R,n. fem.,,,liti,,,https://pixabay.com/get/g605815c0bcb175f2f14691ab184d34ea0acab9d4b757f0c859c126a29707cebb4858b9d066bd7c67da9708b5820e540257a4bbd38e13a7905bb693f97d9cbf76_640.jpg,https://cdn.pixabay.com/photo/2017/11/15/13/27/river-2951997_150.jpg
résistance,usuɓirifu,FR -> KM,R,n. fem.,usuɓirifu,usuɓirifu,usuɓirifu,usuɓirifu,1.0,https://pixabay.com/get/g7d92423a729a02c15b294f5b7750e6faffee1068580b190abaeea6d6e1f7896e6a4b869ae3b3fd60d81b9425b7e6f224932c2ecb9896456880e9cf22a64192a5_640.png,https://cdn.pixabay.com/photo/2017/03/08/19/53/stone-2127669_150.png
résistant (pers.),mstahamilifu,KM -> FR,M,part. pres. adj.,mstahamilifu,,,,,https://pixabay.com/get/g48088c1c0458fd84e943f5c1b4046e0292f2bebb6db1fa8340c453c157378642825f9baa0c3ae4d9006ea1b3aa0e754d0082c06577579649c71eb0d2ad261642_640.png,https://cdn.pixabay.com/photo/2017/03/08/19/53/stone-2127669_150.png
résister,umia (h-),FR -> KM,R,v.,humia,,,,,,
résolution,khatua,FR -> KM,R,n. fem.,khatua,,,,,,
résoudre,holea (u-),FR -> KM,R,v.,uholea,,,,,,
résultat,natidja,KM -> FR,N,n. masc.,mavuna,mavuna,mavuna,mavuna,1.0,,
résulter,ɓakisha (u-),FR -> KM,R,v.,uɓakisha,,,,,,
résumé,mukhtaswari,KM -> FR,M,n. masc.,mukhtaswari,,,,,,
résurrection,kiama,KM -> FR,K,n. fem.,,kiama,,,,,
rétraction,mdjivuro,KM -> FR,M,n. fem.,mdjivuro,mdjivuro,mdjivuro,mdjivuro,1.0,,
réuni (être -),treshelea (u-),FR -> KM,R,v.,utreshelea,,,,,,
réunion nocturne,ɓangazo,FR -> KM,R,n. fem.,ɓangazo,,,,,,
réunir,huntsanya (u-),KM -> FR,H,v.,uundjilia,,,,,,
réussir,shinɗa (u-),FR -> KM,R,v.,ushinɗa,,,ushinɗa,,,
réussir; vaincre,shinɗa (u-),KM -> FR,S,v.,ushinɗa,,,ushinɗa,,,
réussite,ufuzu,FR -> KM,R,n. fem.,ufuzu,,,,,,
réussite; succès,ufuzu,KM -> FR,U,n. fem.,ufuzu,,,,,,
réveiller,lamuha (u-),FR -> KM,R,v. tra.,,,ulamuha,,,,
réveiller  brusquement,maruha (u-),FR -> KM,R,v. tra.,umaruha,umaruha,umaruha,umaruha,1.0,,
réveiller  brusquement; sursauter,maruha (u-),KM -> FR,M,v. tra.,umaruha,umaruha,umaruha,umaruha,1.0,,
réveiller (faire -),marusa (u-),FR -> KM,R,v.,,umarusa,umarusa,umarusa,,,
réveiller (faire -); surprendre; faire peur à,marusa (u-),KM -> FR,M,v.,,umarusa,umarusa,umarusa,,,
réveiller (se -),shelewa (u-),FR -> KM,R,v. tra.,ushelewa,,,,,,
réveiller; déchaîner,lamuha (u-),KM -> FR,L,v. tra.,,,ulamuha,,,,
réveillé,hashiri,FR -> KM,R,adj. part. pass.,hashiri,hashiri,hashiri,hashiri,1.0,,
révélation,mɓainisho; mpvenuho,FR -> KM,R,n. fem.,mpvenuho,,,mpvenuho,,,
révélation des mariés,mɓainisho,FR -> KM,R,n. fem. loc.,mɓainisho,,,,,,
révélation des mariés; exposition; révélation,mɓainisho,KM -> FR,M,n. fem. loc.,mɓainisho,,,,,,
révélation; apparition,mpvenuho,KM -> FR,M,n. fem.,mpvenuho,,,mpvenuho,,,
révéler,ɓaini (u-),FR -> KM,R,v.,uɓaini,,,,,,
révéler (se -),pvenuha (u-),FR -> KM,R,v. tra.,upvenuha,,,upvenuha,,,
révéler (se -); apparaître,pvenuha (u-),KM -> FR,P,v. tra.,upvenuha,,,upvenuha,,,
révérer,utwei,FR -> KM,R,v.,utwei,,,,,,
rêche,guru,KM -> FR,G,adj.,,guru,,,,,
rêve,ndzozi,KM -> FR,N,n. masc.,taɓiri,ndzozi,ndzozi,,,,
rêver,ora (u-),KM -> FR,O,v.,uhora,uhora,uhora,uhora,1.0,,
rôder,zungulia (u-),FR -> KM,R,v.,uzungulia,uzungulia,uzungulia,uzungulia,1.0,,
rôder; faire le tour,zungulia (u-),KM -> FR,Z,v.,uzungulia,uzungulia,uzungulia,uzungulia,1.0,,
s',-dzi-,KM -> FR,D,pron. pers.,-dji-,-dji-,-dji-,-dji-,1.0,,
s'accorder (moralement),wafikiana (u-),FR -> KM,S,v.,uwafikiana,,uwafikiana,,,,
s'accrocher,sama (u-); zingara (u-),FR -> KM,S,v.,uzingara,,usama,,,,
s'appuyer,gama (u-),KM -> FR,G,v. pron.,,,ugama,,,,
s'arranger,lekelea (u-),KM -> FR,L,v.,ulekelea,,,,,,
s'enfoncer,rora (u-),FR -> KM,S,v.,urora,,,,,,
s'il vous plaît,tafadhwali !; tafadhali,FR -> KM,S,loc.,,,tafadhali,,,,
s'épanouir,basauha (u-),KM -> FR,B,v.,(u-),,,,,,
sa,lahe; -ahahe; yahe,FR -> KM,S,adj. poss.,lahe,lahe,yahe,,,,
sa mère,enya,KM -> FR,E,loc.,enya,,,,,,
sable,mtsanga; mutsanga,FR -> KM,S,n. masc. adj.,mtsanga,mtsanga,mutsanga,mtsanga,,,
sable; plage,mutsanga,KM -> FR,M,n. masc. adj.,mtsanga,mtsanga,mutsanga,mtsanga,,,
sabre,upanga,FR -> KM,S,n. masc. n. fem.,upanga,upanga,upanga,upanga,1.0,,
sabre; épée,upanga,KM -> FR,U,n. masc. n. fem.,upanga,upanga,upanga,upanga,1.0,,
sac,mkoɓa,KM -> FR,M,n. fem.,mkoɓa,mkoɓa,mkoɓa,mkoɓa,1.0,,
sac de jute,djunia,KM -> FR,D,n. masc.,guni,guni,guni,guni,1.0,,
sacrifice,fiɗia,KM -> FR,F,n. masc.,fiɗia,,fiɗia,fiɗia,,,
safar,karu,FR -> KM,S,n.,,,karu,,,,
safar; 2ème mois de l'année,karu,KM -> FR,K,n.,,,karu,,,,
sage,makini,FR -> KM,S,adj. subst.,makini,makini,,,,,
sage; calme,makini,KM -> FR,M,adj. subst.,makini,makini,,,,,
sagou (noix),ntsambu,KM -> FR,N,n. masc.,ntsambu,,,,,,
sagoutier,mtsambu,KM -> FR,M,n. masc.,mtsambu,,,,,,
saillir,tseya (u-),FR -> KM,S,v.,utseya,,,,,,
saillir; féconder,tseya (u-),KM -> FR,T,v.,utseya,,,,,,
sain,mnono,KM -> FR,M,adj.,-nono,-nono,-nono,-nono,1.0,,
saint homme,walii; wali,FR -> KM,S,loc.,walii,,wali,,,,
saisie,mrengo,FR -> KM,S,n. fem.,mrengo,mrengo,mrengo,mrengo,1.0,,
saisir,siha (u-); sika (u-),FR -> KM,S,v.,usika,usika,usika,usika,1.0,,
saisir; tenir,sika (u-),KM -> FR,S,v.,usika,usika,usika,usika,1.0,,
saison des pluies,asihazi,KM -> FR,A,n. fem.,asihazi,kashikazi,kashikazi,,,,
saison sèche,husi,KM -> FR,H,loc.,kusi,,kusi,kusi,,,
sakondry (insecte fulgoridae),sankuɗe,FR -> KM,S,n.,sankuɗe,,,,,,
saladier,baguri,KM -> FR,B,n. masc.,,baguri,,,,,
salaire,mshahara,KM -> FR,M,n. masc.,mshahara,mshahara,mushahara,,,,
salaire; paiement (collectif),malivo,KM -> FR,M,n. masc.,mshahara,mshahara,mushahara,,,,
saleté,nkuɗi,KM -> FR,N,n. fem.,unkuɗi,ntrontro,trotro,djifu,,,
salir,sidjini (u-); canfua (u-),FR -> KM,S,v.,usidjini,,,,,,
salive,mare,KM -> FR,M,n. fem.,mare,mare,mare,,,,
saliver,kumɓara (u-),FR -> KM,S,v. int.,ukumɓara,,,,,,
salle,fuko,FR -> KM,S,n. fem.,fuko,fuko,fuko,fuko,1.0,,
salle (de classe),madarasa,KM -> FR,M,n. fem.,madarasa,,,,,,
salle de bain,tro,FR -> KM,S,n. fem.,,,tro,tro,,,
salle de bain (dans la),troni,FR -> KM,S,adv. lieu.,,,,troni,,,
salle de bain; bien,tro,KM -> FR,T,n. fem.,,,tro,tro,,,
salle à manger,fuko la kulia,KM -> FR,F,n. fem.,ɓanɗa,,kulia,,,,
salle; chambre; pièce,fuko,KM -> FR,F,n. fem.,fuko,fuko,fuko,fuko,1.0,,
salon,ukumɓi; ɓanɗa,FR -> KM,S,n. masc.,ukumɓi,,,,,,
saluer,tosa (u-); laulia (u-); salimu (u-),FR -> KM,S,v.,ulaulia,ulaulia,ulaulia,ulaulia,1.0,,
saluer (se -),lauliana (u-),KM -> FR,L,v. tra.,ulauliana,ulauliana,,,,,
saluer pour,salimia (u-),FR -> KM,S,v.,usalimia,usalimia,usalimia,usalimia,1.0,,
saluer pour; bonjour (donner le -),salimia (u-),KM -> FR,S,v.,usalimia,usalimia,usalimia,usalimia,1.0,,
saluer; goûter; visiter,laulia (u-),KM -> FR,L,v.,ulaulia,ulaulia,ulaulia,ulaulia,1.0,,
salutation,mtoso,KM -> FR,M,n. fem.,salamu,salamu,,,,,
salutations,ntosa,KM -> FR,N,n. n. fem.,ntosa,,,,,,
salé,-a shingo,KM -> FR,A,part. pass. adj. subst.,shingo,,,,,,
salé; sel,-a mnyo,KM -> FR,A,part. pass. adj. subst.,shingo,,,,,,
samedi,mufumotsi,KM -> FR,M,n. masc.,mfumontsi,,mufumotsi,mfumontsi,,,
samedi; saturday,mfumontsi,KM -> FR,M,n. masc.,mfumontsi,,mufumotsi,mfumontsi,,,
samoussa,samɓusa,FR -> KM,S,n. masc.,samɓusa,samɓusa,samɓusa,samɓusa,1.0,,
sang,damu,KM -> FR,D,n. masc.,ɗamu,ɗamu,ɗamu,ɗamu,1.0,,
sang; longue spatule à raclette en bois,mwazi,KM -> FR,M,n. masc.,ɗamu,ɗamu,ɗamu,ɗamu,1.0,,
sans,pvatsina,KM -> FR,P,conj. prep.,ɓila,ɓila,ɓila,ɓila,1.0,,
sans garniture,igoɓo,KM -> FR,I,adv.,igoɓo,,,,,,
sans gravité,-a lagha,KM -> FR,A,adv.,lagha,,,,,,
sans problème,ɓila shaka,FR -> KM,S,adv.,shaka,shaka,shaka,shaka,1.0,,
santal,msindzanu,FR -> KM,S,n. fem.,,msindzanu,,,,,
santé,âfia,KM -> FR,A,n. fem.,swiha,swiha,âfia,,,,
santé (bonne -),unono,FR -> KM,S,n. fem.,unono,unono,unono,unono,1.0,,
santé; forme physique,swiha,KM -> FR,S,n. fem.,swiha,swiha,âfia,,,,
saouler,lewa (u-),FR -> KM,S,v. tra.,ulewa,ulewa,ulewa,ulewa,1.0,,
sardine,muhidzi,KM -> FR,M,n. fem.,sardini,sardini,sardini,sardini,1.0,,
Satan,Shetwani,FR -> KM,S,n. prop.,Shetwani,Shetwani,Shetwani,Shetwani,1.0,,
satisfait (être -),tubu (u-); kinaya (u-),FR -> KM,S,v.,utubu,,utubu,,,,
satiété,makura,FR -> KM,S,n. fem.,,,makura,,,,
satiété; contentement,makura,KM -> FR,M,n. fem.,,,makura,,,,
saturday,mfumontsi,FR -> KM,S,n.,mfumontsi,,,mfumontsi,,,
sauce,mtsuzi,KM -> FR,M,n. fem.,shiungo,mtsuzi,mutsuzi,mtsuzi,,,
sauce : tomates frais et morcelées,rugai,KM -> FR,R,,,,,,,,
sauce à base de feuilles de manioc,mataba,KM -> FR,M,loc.,madaba,mataba,mataba,mataba,,,
sauce à base de feuilles de manioc; brèdes de manioc,madaba,KM -> FR,M,loc.,madaba,mataba,mataba,mataba,,,
saucer,unga (u-),FR -> KM,S,v.,uunga,uunga,uunga,,,,
sauf,ila,KM -> FR,I,prep. loc.,ɓaɗi,ila,ya,,,,
saut,mruko,KM -> FR,M,n. masc.,mruko,,,,,,
sauter,ruka (u-),KM -> FR,R,v.,uruka,uruka,uruka,uruka,1.0,,
sauterelle,furudji,KM -> FR,F,n. fem.,pandzi,furudji,pandzi,,,,
sauvage,fahavalu,KM -> FR,F,adj. n.,mshendzi,mshendzi,mshendzi,mshendzi,1.0,,
sauvage; fuyard,mutoro,KM -> FR,M,adj. n.,mshendzi,mshendzi,mshendzi,mshendzi,1.0,,
sauvage; timide; paysan,mmatsaha,KM -> FR,M,adj. n.,mshendzi,mshendzi,mshendzi,mshendzi,1.0,,
sauvagerie,ushendzi; umatsaha,FR -> KM,S,n. fem.,ushendzi,,ushendzi,,,,
sauvagerie; timidité,umatsaha,KM -> FR,U,n. fem.,ushendzi,,ushendzi,,,,
sauvegarde,mvukisho,FR -> KM,S,n. fem.,mvukisho,mvukisho,,,,,
sauvegarde; préservation,mvukisho,KM -> FR,M,n. fem.,mvukisho,mvukisho,,,,,
sauver,owa (u-),KM -> FR,O,v.,uvukisha,,,,,,
sauver (qqun),traza (u-),FR -> KM,S,v.,utraza,,,,,,
sauver (se -),djivukisha (u-),KM -> FR,D,v. tra.,udjivukisha,,utrala,udjivukisha,,,
sauver; préserver,vukisha (u-),KM -> FR,V,v.,uvukisha,,,,,,
savant,mdjuzi; mjuzi,FR -> KM,S,adj. subst.,mdjuzi,mjuzi,mjuzi,,,,
savant; expert,mdjuzi,KM -> FR,M,adj. subst.,mdjuzi,mjuzi,mjuzi,,,,
savoir,îlimu,KM -> FR,I,v.,udjuzi,ujuzi,ujuzi,udjuzi,,,
savoir; connaître,jua (u-),KM -> FR,J,v.,udjuzi,ujuzi,ujuzi,udjuzi,,https://pixabay.com/get/g0af767b35bae224ec6a02161cb8efcdbf781631dc663f004e66b91ddf042f32f0a4fbcbf2535fe0531d371c3414af2c4c74d977d2c3236443eaa2f09881fdd9a_640.jpg,https://cdn.pixabay.com/photo/2016/10/22/02/34/bookshop-1759619_150.jpg
savon,saɓuni,FR -> KM,S,n. masc.,saɓuni,saɓuni,saɓuni,saɓuni,1.0,,
savourer,kumɓara (u-),FR -> KM,S,v.,ukumɓara,,,,,,
scandale,âiɓu,FR -> KM,S,n. masc.,âiɓu,,âiɓu,,,,
