key_fr,key_km,scrap_mode,scrap_letter,type,dialect_shiNgazidja,dialect_shiNdzuani,dialect_shiMaore,dialect_shiMwali,dialect_commun
revendeur,mcuuzi,KM -> FR,M,subst.,mcuuzi,,,,
revenir,redjei (u-); ruɗi (u-); regea (u-),FR -> KM,R,v.,uruɗi,uregea,uregea,uregea,
revenir (faire -),redjeza (u-); regedza (u-),FR -> KM,R,v.,uredjeza,uregedza,uregedza,,
revenir (faire -); ramener; recommencer,regedza (u-),KM -> FR,R,v.,uredjeza,uregedza,uregedza,,
revenir à,jilia (u-),KM -> FR,J,v.,,,ujilia,,
rhinocéros,ifaru,KM -> FR,I,n. masc.,ifaru,shifaru,,shifaru,
rhinorrhée,maɗoɗo,FR -> KM,R,n. fem.,maɗoɗo,,,,
rhume,kamanfi,KM -> FR,K,n. masc.,kamanfi,jongoma,jongoma,,
rhume; morve,jongoma,KM -> FR,J,n. masc.,kamanfi,jongoma,jongoma,,
rhétorique,ufaswaha,FR -> KM,R,n. fem.,ufaswaha,,,ufaswaha,
rial,riali,FR -> KM,R,n. masc.,riali,riali,riali,riali,1.0
riche (pers.),tadjiri,FR -> KM,R,adj.,tadjiri,tadjiri,tadjiri,tadjiri,1.0
richesse,utadjiri,FR -> KM,R,n. fem.,utadjiri,utadjiri,utadjiri,utadjiri,1.0
richesse (biens),nafaka; mali,FR -> KM,R,n. fem.,nafaka,,mali,mali,
richesse (biens); fortune,mali,KM -> FR,M,n. fem.,nafaka,,mali,mali,
ride,ndrwai,FR -> KM,R,n. fem.,ndrwai,,,,
ride (front),kundzo,KM -> FR,K,n. fem.,kundzo,,,,
rideau,msutru,KM -> FR,M,n. masc.,msutru,suru,,,
rider,kutiha (u-),KM -> FR,K,v. tra.,,ukutiha,,,
rien,hata; kavu; kapvu,FR -> KM,R,prep.,kapvu,kapvu,kapvu,kapvu,1.0
rincer,tsamɓua (u-); tsamɓusa (u-),FR -> KM,R,v.,utsamɓusa,utsamɓusa,,,
rincer les fessses,tsamɓa (u-),FR -> KM,R,v.,utsamɓa,utsamɓa,utsamɓa,utsamɓa,1.0
riposter,ɗipvia (u-); ɗiva (u-),FR -> KM,R,v.,uɗipvia,uɗiva,,,
rire,tseha (u-),FR -> KM,R,v.,utseha,utseha,utseha,utseha,1.0
rire (faire -),tsesa (u-),FR -> KM,R,v.,utsesa,utsesa,utsesa,utsesa,1.0
rire de,tseshea (u-),FR -> KM,R,v.,utseshea,,utseshea,,
rire de; moquer de,tseshea (u-),KM -> FR,T,v.,utseshea,,utseshea,,
rire.,nsteho,KM -> FR,N,n. masc.,ntseso,,tseso,,
rire; sourire,tseha (u-),KM -> FR,T,v.,utseha,utseha,utseha,utseha,1.0
risée,seho,FR -> KM,R,n. fem.,seho,,,,
rivage,mpvwa,KM -> FR,M,n. masc.,mpvwa,,tsandzale,,
rivière,mro,KM -> FR,M,n. fem.,mro,mro,muro,mro,
riz,maele,KM -> FR,M,n. masc.,maele,,mele,,
riz (bouilli),matsidza,KM -> FR,M,n.,,,matsidza,,
riz (grain de),ntsohole,KM -> FR,N,n. masc.,ntsohole,ntsohole,tsohole,ntsohole,
riz préparé à l'indienne,ɓiriani,FR -> KM,R,n. masc.,ɓiriani,,,,
riz-coco,maele ya nazi,KM -> FR,M,n. masc.,nazi,,,,
rizière,mapemba,KM -> FR,M,n. fem.,maele,,mapemba,,
robe,gauni,KM -> FR,G,n. fem.,gauni,,,larob,
robe traditionnelle,nkandzu,FR -> KM,R,n. fem.,,nkandzu,nkandzu,,
robinet,mferedji,KM -> FR,M,n. masc.,mferedji,,,,
robuste,panɗa-mwana,KM -> FR,P,adj.,panɗa-mwana,,,,
rocher,gambe,KM -> FR,G,n. masc.,gaya,wambe,,,
roi,mufalme,KM -> FR,M,n. masc.,mfaume,mfaume,mufalme,mfaume,
Roi (cartes),laruɓa,KM -> FR,L,n. masc.,,,laruɓa,,
roi; reine,mfalume,KM -> FR,M,n. masc.,mfaume,mfaume,mufalme,mfaume,
roi; souverain,mfaume,KM -> FR,M,n. masc.,mfaume,mfaume,mufalme,mfaume,
rompre,ruɓua (u-); vundza (u-); vundzanga (u-),FR -> KM,R,v.,uvundza,uvundzanga,uvundza,uvundza,
rompre (faire -),ruɓuza (u-),FR -> KM,R,v.,uruɓuza,,,,
rompre le jeûne,futari (u-),KM -> FR,F,v.,ufungua,ufungua,ufungua,ufungua,1.0
rond,-a ɗiwara,KM -> FR,A,adj.,ɗiwara,,,,
rond (adj.),ɓuruɓuru,FR -> KM,R,adj.,ɓuruɓuru,ɓuruɓuru,ɓuruɓuru,,
rondelle,ndrwai,FR -> KM,R,n. fem.,ndrwai,,,,
rondelle; ride,ndrwai,KM -> FR,N,n. fem.,ndrwai,,,,
ronflement,firo,KM -> FR,F,n. masc. n. fem.,trongo,mano,trongo,firo,
ronflement; chassie; chose,trongo,KM -> FR,T,n. masc. n. fem.,trongo,mano,trongo,firo,
ronfler,ra trongo (hu-),FR -> KM,R,v.,trongo,,,,
ronger,nyonya (u-),KM -> FR,N,v.,unyonya,usondza,usondza,usondza,
ronger; sucer,sondza (u-),KM -> FR,S,v.,unyonya,usondza,usondza,usondza,
rose,mawa,KM -> FR,M,n. fem.,waridi,wardi,mawa,,
rosée,haɗile,KM -> FR,H,n. fem.,mamo,nyamo,mamio,,
roter,teusa (u-),FR -> KM,R,v. int. v. pron.,uteusa,,,,
roter; éructer,teusa (u-),KM -> FR,T,v. int. v. pron.,uteusa,,,,
roue,ɗiwara; mpine,FR -> KM,R,n. fem.,mpine,,,,
rouge,djinkuɗu,KM -> FR,D,adj. adv.,nyinkuɗu,ndzukundru,ndzukundru,,
rouge à lèvres,mlala,KM -> FR,M,n. masc.,mlala,,mlala,,
rouge-gorge,mbera-suli,KM -> FR,M,n. masc.,mbera-suli,mpera-moro,,,
rouge-gorge; foudi des Comores,mbera-gobo,KM -> FR,M,n. masc.,mbera-suli,mpera-moro,,,
rougeole,moro wa mwili,KM -> FR,M,n. fem.,,sususu,mwili,,
rouget,ndiashe,KM -> FR,N,n. masc.,,,ndiashe,,
rougeur,unkundru; unkuɗu,FR -> KM,R,n. fem.,unkuɗu,unkundru,unkundru,,
rougir,unkuɗiha (hu-),FR -> KM,R,,,,,,
rougir ,unkuɗiha (hu-),KM -> FR,U,,,,,,
rouille,kutsu,KM -> FR,K,n. fem.,nkutsu,nkutsu,kutsu,nkutsu,
route,pare,FR -> KM,R,n. fem.,pare,pare,pare,pare,1.0
route; pour que; afin que,pare,KM -> FR,P,n. fem.,pare,pare,pare,pare,1.0
routine,uzoevu,FR -> KM,R,n. fem.,uzoevu,,,,
royaume,mafalume,KM -> FR,M,n. masc.,udjumbe,,mafalume,,
royaume; délégation,udjumbe,KM -> FR,U,n. masc.,udjumbe,,mafalume,,
royauté,ufaume; ufalume,FR -> KM,R,n. fem.,ufaume,ufalume,ufalume,,
rubis,mardjani,KM -> FR,M,n. masc.,,mardjani,,,
rue,ndzia,FR -> KM,R,n. fem.,ndzia,ndzia,ndzia,ndzia,1.0
ruelle,itsoo,KM -> FR,I,n. fem.,itsotsoro,shitsotso,,,
ruer,rangushia (u-),FR -> KM,R,v. tra.,,urangushia,,,
rugir,ra uwa (hu-),FR -> KM,R,v.,uwa,,,,
ruine,huraɓu,KM -> FR,H,n. fem.,faiti,huraɓu,,,
ruiner,faiti (u-),KM -> FR,F,v. tra.,,ufaiti,,,
ruisseler,yelela (u-),FR -> KM,R,v.,uyelela,,,,
rural,-a shiliju,KM -> FR,A,adj.,,shiliju,,,
ruse,hila; makri; udjandja; iɓutala,FR -> KM,R,n. fem.,makri,udjandja,udjandja,,
ruser,fanya makri (u-),KM -> FR,F,v.,makri,,,,
rusé (pers.),mdjandja,KM -> FR,M,adj.,,mdjandja,mdjandja,,
rythme,mcinɗo,KM -> FR,M,n. masc.,mcinɗo,,,,
râler,rauwa (u-),FR -> KM,R,v.,urauwa,,,,
râpe à coco,mbuzi (ya nadzi),KM -> FR,M,n. masc.,nazi),nadzi),muho,nadzi),
règle,sharia,FR -> KM,R,n. fem.,sharia,sharia,sharia,sharia,1.0
règle coutumière,milanantsi,KM -> FR,M,loc.,milanantsi,milanantsi,,milanantsi,
réaliser,maezi (u-),KM -> FR,M,v.,urenɗa,,,urenɗa,
réaliser; faire; accomplir,renɗa (u-),KM -> FR,R,v.,urenɗa,,,urenɗa,
réception,hadhwara,FR -> KM,R,n. fem.,hadhwara,,,,
réception; cérémonie,hadhwara,KM -> FR,H,n. fem.,hadhwara,,,,
réchauffer,hora (u-),FR -> KM,R,v. pron.,uhora,uhora,uhora,uhora,1.0
réchauffer; rêver,hora (u-),KM -> FR,H,v. pron.,uhora,uhora,uhora,uhora,1.0
récidiver,redjeza (u-),FR -> KM,R,v.,uredjeza,,,,
récif,mwamɓa,FR -> KM,R,n. masc.,mwamɓa,,mwamɓa,,
récif; corail,mwamɓa,KM -> FR,M,n. masc.,mwamɓa,,mwamɓa,,
récipient,kuveti,FR -> KM,R,n. masc.,kuveti,,,kuveti,
récipient; cuvette,kuveti,KM -> FR,K,n. masc.,kuveti,,,kuveti,
récit,haɗisi,FR -> KM,R,n. masc.,haɗisi,haɗisi,haɗisi,haɗisi,1.0
réciter,aridi (u-),KM -> FR,A,v.,,hwaridi,uwaridi,,
réclamer,ɗai (u-),FR -> KM,R,v.,uɗai,,uɗai,,
"réclusion de sept jours, confinement",fukare,KM -> FR,F,n.,,,fukare,,
récolte,mavuna,FR -> KM,R,n. fem.,mavuna,mavuna,mavuna,mavuna,1.0
récolte; résultat,mavuna,KM -> FR,M,n. fem.,mavuna,mavuna,mavuna,mavuna,1.0
récolter,vuna (u-),FR -> KM,R,v.,uvuna,uvuna,uvuna,,
récompence divin,thawaɓu,FR -> KM,R,n. fem.,thawaɓu,thawaɓu,,,
récompense,ɓambu; shilivo; zilipvwa,FR -> KM,R,n. fem.,zilipvwa,ɓambu,shilivo,,
récompense divine,fadhwila,KM -> FR,F,n. fem.,fadhwila,,,fadhwila,
réconciliation,suluhu,FR -> KM,R,n. fem.,suluhu,suluhu,suluhu,suluhu,1.0
réconfort,faradji,KM -> FR,F,n. masc.,faradji,,faradji,,
récupération,mpvesheo,KM -> FR,M,n. fem.,mpvesheo,,,,
réduction,mpvunguzo,FR -> KM,R,n. fem.,mpvunguzo,,,,
réduction; diminution,mpvunguzo,KM -> FR,M,n. fem.,mpvunguzo,,,,
réduire,vungudza (u-),FR -> KM,R,v.,,,uvungudza,,
réduire (se -),vunguha (u-); pvuguha (u-),FR -> KM,R,v. tra.,upvuguha,uvunguha,uvunguha,,
réduire; diminuer,vungudza (u-),KM -> FR,V,v.,,,uvungudza,,
réfléchir,fikiri (u-); lolea (u-),FR -> KM,R,v.,ufikiri,ufikiri,ufikiri,ufikiri,1.0
réfléchir; épouser; être pensif,lolea (u-),KM -> FR,L,v.,ufikiri,ufikiri,ufikiri,ufikiri,1.0
réforme,mɓaɗiliho,KM -> FR,M,n. fem.,mɓaɗiliho,,,,
réfrigérateur,firigo,FR -> KM,R,n. masc.,firigo,firigo,firigo,firigo,1.0
régaler,jiva (u-),FR -> KM,R,v. tra.,,ujiva,ujiva,,
régaler; contenter,jiva (u-),KM -> FR,J,v. tra.,,ujiva,ujiva,,
régime de bananes,kontrike,KM -> FR,K,n. masc.,kontrike,mkungu,mkungu,,
région,ɓavu; mkaɓala,FR -> KM,R,n. fem.,ɓavu,ɓavu,ɓavu,ɓavu,1.0
région; environ,mkaɓala,KM -> FR,M,n. fem.,ɓavu,ɓavu,ɓavu,ɓavu,1.0
réglage,mrengezo; mlekezo,FR -> KM,R,n. masc.,mrengezo,,,,
réjouir,djipvia (u-); jivia (u-),FR -> KM,R,v.,udjipvia,ujivia,ujivia,,
réjouir (se -),furahi (u-); jiviwa (u-),FR -> KM,R,v. tra.,ufurahi,ufurahi,ufurahi,ufurahi,1.0
réjouir (se -); content (être -); joyeux (être -),jiviwa (u-),KM -> FR,J,v. tra.,ufurahi,ufurahi,ufurahi,ufurahi,1.0
réjouir; plaire à,jivia (u-),KM -> FR,J,v.,udjipvia,ujivia,ujivia,,
répandre,eneza (u-); odza (u-),FR -> KM,R,v.,hweneza,,uodza,,
répandre (se -),enea (u-); tsangaya (u-),FR -> KM,R,v. tra.,(u-),(u-),(u-),(u-),1.0
répandre; éparpiller,eneza (u-),KM -> FR,E,v.,hweneza,,uodza,,
réparation,mrengezo,FR -> KM,R,n. fem.,mrengezo,,,,
réparation; réglage,mrengezo,KM -> FR,M,n. fem.,mrengezo,,,,
réparer,rengeza (u-); rengeledza (u-),FR -> KM,R,v.,urengeza,urengeledza,urengeledza,urengeledza,
réparer (se -),rengelea (u-),FR -> KM,R,v. tra.,urengelea,,urengelea,,
réparer (se -); arranger (s'-),rengelea (u-),KM -> FR,R,v. tra.,urengelea,,urengelea,,
répartition (nourriture),djeleo,KM -> FR,D,n. fem.,djeleo,,,,
répercuter,shukia (u-),FR -> KM,R,v. tra.,,ushukia,,,
répondre,djiɓu (u-),KM -> FR,D,v.,udjiɓu,udjiɓu,udjiɓu,udjiɓu,1.0
répondre (à un appel),viya (u-); via (u-),FR -> KM,R,v.,uviya,,,,
réponse,djawaɓu,KM -> FR,D,n. fem.,djawaɓu,djawaɓu,djawaɓu,djawaɓu,1.0
réprimander,lagulia (u-),KM -> FR,L,v.,,ulagulia,unguruma,,
république,djamhuri,KM -> FR,D,n. fem.,djamhuri,,,,
répudier,twalaki (u-),FR -> KM,R,v.,utwalaki,,,,
répudier; divorcer (homme),twalaki (u-),KM -> FR,T,v.,utwalaki,,,,
répugnance,urugamivu,FR -> KM,R,n. fem.,,urugamivu,,,
répugner,ɗuɗusa (u-); rungama (u-),FR -> KM,R,v.,urungama,urungama,,urungama,
réputation,hishima,KM -> FR,H,n. fem.,mavumizo,,,hishima,
réputé (être -),vuma (u-),FR -> KM,R,v.,uvuma,,uvuma,,
réputé (être -); souffler,vuma (u-),KM -> FR,V,v.,uvuma,,uvuma,,
répéter,pveshelea (u-),KM -> FR,P,v.,upveshelea,uvoshea,uvoshea,,
répétition,mtwalaâ,FR -> KM,R,n. fem.,mtwalaâ,,,,
répétition; théorie,mtwalaâ,KM -> FR,M,n. fem.,mtwalaâ,,,,
réserve,kalibano,FR -> KM,R,n. fem.,,,kalibano,,
réserve; magasin,kalibano,KM -> FR,K,n. fem.,,,kalibano,,
réserver,weshea (u-),FR -> KM,R,v.,uweshea,,,,
résidence,kazi; makao,FR -> KM,R,n. fem.,kazi,makao,makao,,
résidence; demeure,makao,KM -> FR,M,n. fem.,kazi,makao,makao,,
résident,mkazi,FR -> KM,R,n. masc.,mkazi,,mkazi,,
résidu,sankiɗa,FR -> KM,R,n. masc.,sankiɗa,,,,
résigner,ekea (u-),FR -> KM,R,v. tra.,hwekea,,,,
résigner; subir,ekea (u-),KM -> FR,E,v. tra.,hwekea,,,,
résine (botanique),liti,FR -> KM,R,n. fem.,,,liti,,
résistance,usuɓirifu,FR -> KM,R,n. fem.,usuɓirifu,usuɓirifu,usuɓirifu,usuɓirifu,1.0
résistant (pers.),mstahamilifu,KM -> FR,M,part. pres. adj.,mstahamilifu,,,,
résister,umia (h-),FR -> KM,R,v.,humia,,,,
résolution,khatua,FR -> KM,R,n. fem.,khatua,,,,
résoudre,holea (u-),FR -> KM,R,v.,uholea,,,,
résultat,natidja,KM -> FR,N,n. masc.,mavuna,mavuna,mavuna,mavuna,1.0
résulter,ɓakisha (u-),FR -> KM,R,v.,uɓakisha,,,,
résumé,mukhtaswari,KM -> FR,M,n. masc.,mukhtaswari,,,,
résurrection,kiama,KM -> FR,K,n. fem.,,kiama,,,
rétraction,mdjivuro,KM -> FR,M,n. fem.,mdjivuro,mdjivuro,mdjivuro,mdjivuro,1.0
réuni (être -),treshelea (u-),FR -> KM,R,v.,utreshelea,,,,
réunion nocturne,ɓangazo,FR -> KM,R,n. fem.,ɓangazo,,,,
réunir,huntsanya (u-),KM -> FR,H,v.,uundjilia,,,,
réussir,shinɗa (u-),FR -> KM,R,v.,ushinɗa,,,ushinɗa,
réussir; vaincre,shinɗa (u-),KM -> FR,S,v.,ushinɗa,,,ushinɗa,
réussite,ufuzu,FR -> KM,R,n. fem.,ufuzu,,,,
réussite; succès,ufuzu,KM -> FR,U,n. fem.,ufuzu,,,,
réveiller,lamuha (u-),FR -> KM,R,v. tra.,,,ulamuha,,
réveiller  brusquement,maruha (u-),FR -> KM,R,v. tra.,umaruha,umaruha,umaruha,umaruha,1.0
réveiller  brusquement; sursauter,maruha (u-),KM -> FR,M,v. tra.,umaruha,umaruha,umaruha,umaruha,1.0
réveiller (faire -),marusa (u-),FR -> KM,R,v.,,umarusa,umarusa,umarusa,
réveiller (faire -); surprendre; faire peur à,marusa (u-),KM -> FR,M,v.,,umarusa,umarusa,umarusa,
réveiller (se -),shelewa (u-),FR -> KM,R,v. tra.,ushelewa,,,,
réveiller; déchaîner,lamuha (u-),KM -> FR,L,v. tra.,,,ulamuha,,
réveillé,hashiri,FR -> KM,R,adj. part. pass.,hashiri,hashiri,hashiri,hashiri,1.0
révélation,mɓainisho; mpvenuho,FR -> KM,R,n. fem.,mpvenuho,,,mpvenuho,
révélation des mariés,mɓainisho,FR -> KM,R,n. fem. loc.,mɓainisho,,,,
révélation des mariés; exposition; révélation,mɓainisho,KM -> FR,M,n. fem. loc.,mɓainisho,,,,
révélation; apparition,mpvenuho,KM -> FR,M,n. fem.,mpvenuho,,,mpvenuho,
révéler,ɓaini (u-),FR -> KM,R,v.,uɓaini,,,,
révéler (se -),pvenuha (u-),FR -> KM,R,v. tra.,upvenuha,,,upvenuha,
révéler (se -); apparaître,pvenuha (u-),KM -> FR,P,v. tra.,upvenuha,,,upvenuha,
révérer,utwei,FR -> KM,R,v.,utwei,,,,
rêche,guru,KM -> FR,G,adj.,,guru,,,
rêve,ndzozi,KM -> FR,N,n. masc.,taɓiri,ndzozi,ndzozi,,
rêver,ora (u-),KM -> FR,O,v.,uhora,uhora,uhora,uhora,1.0
rôder,zungulia (u-),FR -> KM,R,v.,uzungulia,uzungulia,uzungulia,uzungulia,1.0
rôder; faire le tour,zungulia (u-),KM -> FR,Z,v.,uzungulia,uzungulia,uzungulia,uzungulia,1.0
s',-dzi-,KM -> FR,D,pron. pers.,-dji-,-dji-,-dji-,-dji-,1.0
s'accorder (moralement),wafikiana (u-),FR -> KM,S,v.,uwafikiana,,uwafikiana,,
s'accrocher,sama (u-); zingara (u-),FR -> KM,S,v.,uzingara,,usama,,
s'appuyer,gama (u-),KM -> FR,G,v. pron.,,,ugama,,
s'arranger,lekelea (u-),KM -> FR,L,v.,ulekelea,,,,
s'enfoncer,rora (u-),FR -> KM,S,v.,urora,,,,
s'il vous plaît,tafadhwali !; tafadhali,FR -> KM,S,loc.,,,tafadhali,,
s'épanouir,basauha (u-),KM -> FR,B,v.,(u-),,,,
sa,lahe; -ahahe; yahe,FR -> KM,S,adj. poss.,lahe,lahe,yahe,,
sa mère,enya,KM -> FR,E,loc.,enya,,,,
sable,mtsanga; mutsanga,FR -> KM,S,n. masc. adj.,mtsanga,mtsanga,mutsanga,mtsanga,
sable; plage,mutsanga,KM -> FR,M,n. masc. adj.,mtsanga,mtsanga,mutsanga,mtsanga,
sabre,upanga,FR -> KM,S,n. masc. n. fem.,upanga,upanga,upanga,upanga,1.0
sabre; épée,upanga,KM -> FR,U,n. masc. n. fem.,upanga,upanga,upanga,upanga,1.0
sac,mkoɓa,KM -> FR,M,n. fem.,mkoɓa,mkoɓa,mkoɓa,mkoɓa,1.0
sac de jute,djunia,KM -> FR,D,n. masc.,guni,guni,guni,guni,1.0
sacrifice,fiɗia,KM -> FR,F,n. masc.,fiɗia,,fiɗia,fiɗia,
safar,karu,FR -> KM,S,n.,,,karu,,
safar; 2ème mois de l'année,karu,KM -> FR,K,n.,,,karu,,
sage,makini,FR -> KM,S,adj. subst.,makini,makini,,,
sage; calme,makini,KM -> FR,M,adj. subst.,makini,makini,,,
sagou (noix),ntsambu,KM -> FR,N,n. masc.,ntsambu,,,,
sagoutier,mtsambu,KM -> FR,M,n. masc.,mtsambu,,,,
saillir,tseya (u-),FR -> KM,S,v.,utseya,,,,
saillir; féconder,tseya (u-),KM -> FR,T,v.,utseya,,,,
sain,mnono,KM -> FR,M,adj.,-nono,-nono,-nono,-nono,1.0
saint homme,walii; wali,FR -> KM,S,loc.,walii,,wali,,
saisie,mrengo,FR -> KM,S,n. fem.,mrengo,mrengo,mrengo,mrengo,1.0
saisir,siha (u-); sika (u-),FR -> KM,S,v.,usika,usika,usika,usika,1.0
saisir; tenir,sika (u-),KM -> FR,S,v.,usika,usika,usika,usika,1.0
saison des pluies,asihazi,KM -> FR,A,n. fem.,asihazi,kashikazi,kashikazi,,
saison sèche,husi,KM -> FR,H,loc.,kusi,,kusi,kusi,
sakondry (insecte fulgoridae),sankuɗe,FR -> KM,S,n.,sankuɗe,,,,
saladier,baguri,KM -> FR,B,n. masc.,,baguri,,,
salaire,mshahara,KM -> FR,M,n. masc.,mshahara,mshahara,mushahara,,
salaire; paiement (collectif),malivo,KM -> FR,M,n. masc.,mshahara,mshahara,mushahara,,
saleté,nkuɗi,KM -> FR,N,n. fem.,unkuɗi,ntrontro,trotro,djifu,
salir,sidjini (u-); canfua (u-),FR -> KM,S,v.,usidjini,,,,
salive,mare,KM -> FR,M,n. fem.,mare,mare,mare,,
saliver,kumɓara (u-),FR -> KM,S,v. int.,ukumɓara,,,,
salle,fuko,FR -> KM,S,n. fem.,fuko,fuko,fuko,fuko,1.0
salle (de classe),madarasa,KM -> FR,M,n. fem.,madarasa,,,,
salle de bain,tro,FR -> KM,S,n. fem.,,,tro,tro,
salle de bain (dans la),troni,FR -> KM,S,adv. lieu.,,,,troni,
salle de bain; bien,tro,KM -> FR,T,n. fem.,,,tro,tro,
salle à manger,fuko la kulia,KM -> FR,F,n. fem.,ɓanɗa,,kulia,,
salle; chambre; pièce,fuko,KM -> FR,F,n. fem.,fuko,fuko,fuko,fuko,1.0
salon,ukumɓi; ɓanɗa,FR -> KM,S,n. masc.,ukumɓi,,,,
saluer,tosa (u-); laulia (u-); salimu (u-),FR -> KM,S,v.,ulaulia,ulaulia,ulaulia,ulaulia,1.0
saluer (se -),lauliana (u-),KM -> FR,L,v. tra.,ulauliana,ulauliana,,,
saluer pour,salimia (u-),FR -> KM,S,v.,usalimia,usalimia,usalimia,usalimia,1.0
saluer pour; bonjour (donner le -),salimia (u-),KM -> FR,S,v.,usalimia,usalimia,usalimia,usalimia,1.0
saluer; goûter; visiter,laulia (u-),KM -> FR,L,v.,ulaulia,ulaulia,ulaulia,ulaulia,1.0
salutation,mtoso,KM -> FR,M,n. fem.,salamu,salamu,,,
salutations,ntosa,KM -> FR,N,n. n. fem.,ntosa,,,,
salé,-a shingo,KM -> FR,A,part. pass. adj. subst.,shingo,,,,
salé; sel,-a mnyo,KM -> FR,A,part. pass. adj. subst.,shingo,,,,
samedi,mufumotsi,KM -> FR,M,n. masc.,mfumontsi,,mufumotsi,mfumontsi,
samedi; saturday,mfumontsi,KM -> FR,M,n. masc.,mfumontsi,,mufumotsi,mfumontsi,
samoussa,samɓusa,FR -> KM,S,n. masc.,samɓusa,samɓusa,samɓusa,samɓusa,1.0
sang,damu,KM -> FR,D,n. masc.,ɗamu,ɗamu,ɗamu,ɗamu,1.0
sang; longue spatule à raclette en bois,mwazi,KM -> FR,M,n. masc.,ɗamu,ɗamu,ɗamu,ɗamu,1.0
sans,pvatsina,KM -> FR,P,conj. prep.,ɓila,ɓila,ɓila,ɓila,1.0
sans garniture,igoɓo,KM -> FR,I,adv.,igoɓo,,,,
sans gravité,-a lagha,KM -> FR,A,adv.,lagha,,,,
sans problème,ɓila shaka,FR -> KM,S,adv.,shaka,shaka,shaka,shaka,1.0
santal,msindzanu,FR -> KM,S,n. fem.,,msindzanu,,,
santé,âfia,KM -> FR,A,n. fem.,swiha,swiha,âfia,,
santé (bonne -),unono,FR -> KM,S,n. fem.,unono,unono,unono,unono,1.0
santé; forme physique,swiha,KM -> FR,S,n. fem.,swiha,swiha,âfia,,
saouler,lewa (u-),FR -> KM,S,v. tra.,ulewa,ulewa,ulewa,ulewa,1.0
sardine,muhidzi,KM -> FR,M,n. fem.,sardini,sardini,sardini,sardini,1.0
Satan,Shetwani,FR -> KM,S,n. prop.,Shetwani,Shetwani,Shetwani,Shetwani,1.0
satisfait (être -),tubu (u-); kinaya (u-),FR -> KM,S,v.,utubu,,utubu,,
satiété,makura,FR -> KM,S,n. fem.,,,makura,,
satiété; contentement,makura,KM -> FR,M,n. fem.,,,makura,,
saturday,mfumontsi,FR -> KM,S,n.,mfumontsi,,,mfumontsi,
sauce,mtsuzi,KM -> FR,M,n. fem.,shiungo,mtsuzi,mutsuzi,mtsuzi,
sauce : tomates frais et morcelées,rugai,KM -> FR,R,,,,,,
sauce à base de feuilles de manioc,mataba,KM -> FR,M,loc.,madaba,mataba,mataba,mataba,
sauce à base de feuilles de manioc; brèdes de manioc,madaba,KM -> FR,M,loc.,madaba,mataba,mataba,mataba,
saucer,unga (u-),FR -> KM,S,v.,uunga,uunga,uunga,,
sauf,ila,KM -> FR,I,prep. loc.,ɓaɗi,ila,ya,,
saut,mruko,KM -> FR,M,n. masc.,mruko,,,,
sauter,ruka (u-),KM -> FR,R,v.,uruka,uruka,uruka,uruka,1.0
sauterelle,furudji,KM -> FR,F,n. fem.,pandzi,furudji,pandzi,,
sauvage,fahavalu,KM -> FR,F,adj. n.,mshendzi,mshendzi,mshendzi,mshendzi,1.0
sauvage; fuyard,mutoro,KM -> FR,M,adj. n.,mshendzi,mshendzi,mshendzi,mshendzi,1.0
sauvage; timide; paysan,mmatsaha,KM -> FR,M,adj. n.,mshendzi,mshendzi,mshendzi,mshendzi,1.0
sauvagerie,ushendzi; umatsaha,FR -> KM,S,n. fem.,ushendzi,,ushendzi,,
sauvagerie; timidité,umatsaha,KM -> FR,U,n. fem.,ushendzi,,ushendzi,,
sauvegarde,mvukisho,FR -> KM,S,n. fem.,mvukisho,mvukisho,,,
sauvegarde; préservation,mvukisho,KM -> FR,M,n. fem.,mvukisho,mvukisho,,,
sauver,owa (u-),KM -> FR,O,v.,uvukisha,,,,
sauver (qqun),traza (u-),FR -> KM,S,v.,utraza,,,,
sauver (se -),djivukisha (u-),KM -> FR,D,v. tra.,udjivukisha,,utrala,udjivukisha,
sauver; préserver,vukisha (u-),KM -> FR,V,v.,uvukisha,,,,
savant,mdjuzi; mjuzi,FR -> KM,S,adj. subst.,mdjuzi,mjuzi,mjuzi,,
savant; expert,mdjuzi,KM -> FR,M,adj. subst.,mdjuzi,mjuzi,mjuzi,,
savoir,îlimu,KM -> FR,I,v.,udjuzi,ujuzi,ujuzi,udjuzi,
savoir; connaître,jua (u-),KM -> FR,J,v.,udjuzi,ujuzi,ujuzi,udjuzi,
savon,saɓuni,FR -> KM,S,n. masc.,saɓuni,saɓuni,saɓuni,saɓuni,1.0
savourer,kumɓara (u-),FR -> KM,S,v.,ukumɓara,,,,
scandale,âiɓu,FR -> KM,S,n. masc.,âiɓu,,âiɓu,,
scandale; déshonneur; honte,âiɓu,KM -> FR,A,n. masc.,âiɓu,,âiɓu,,
scarabée,cainamwamba,KM -> FR,C,n. masc.,ikaɓwaɓwa,,,,
scie,msimanyo,KM -> FR,M,n. fem.,msimanyo,mshari,,mshari,
science,sayansi,FR -> KM,S,n. fem.,sayansi,sayansi,sayansi,sayansi,1.0
scier,kea (u-),KM -> FR,K,v.,msimanyo,,ukea,,
scintiller,vevena (u-),FR -> KM,S,v.,,,uvevena,,
scission,mpvasuo,FR -> KM,S,n. fem.,mpvasuo,,,,
